text
"A Bahama pintail"
"A Bald eagle"
"A Baleen whale"
"A Banded mongoose"
"A Barasingha deer"
"A Bare-faced go away bird"
"A Barking gecko"
"A Barrows goldeneye"
"A Bat-eared fox"
"A Bateleur eagle"
"A Beisa oryx"
"A Bengal vulture"
"A Bennett's wallaby"
"A Bent-toed gecko"
"A Black and white colobus"
"A Black bear"
"A Black curlew"
"A Black kite"
"A Black rhinoceros"
"A Black spider monkey"
"A Black swan"
"A Black vulture"
"A Black-backed jackal"
"A Black-backed magpie"
"A Black-capped capuchin"
"A Black-capped chickadee"
"A Black-cheeked waxbill"
"A Black-collared barbet"
"A Black-crowned crane"
"A Black-crowned night heron"
"A Black-eyed bulbul"
"A Black-faced kangaroo"
"A Black-footed ferret"
"A Black-fronted bulbul"
"A Black-necked stork"
"A Black-tailed deer"
"A Black-tailed prairie dog"
"A Black-tailed tree creeper"
"A Black-throated butcher bird"
"A Black-throated cardinal"
"A Black-winged stilt"
"A Blackbuck"
"A Blackish oystercatcher"
"A Blacksmith plover"
"A Bleeding heart monkey"
"A Blesbok"
"A Blue and gold macaw"
"A Blue and yellow macaw"
"A Blue catfish"
"A Blue crane"
"A Blue duck"
"A Blue fox"
"A Blue peacock"
"A Blue racer"
"A Blue shark"
"A Blue waxbill"
"A Blue wildebeest"
"A Blue-breasted cordon bleu"
"A Blue-faced booby"
"A Blue-footed booby"
"A Blue-tongued lizard"
"A Blue-tongued skink"
"A Boat-billed heron"
"A Bobcat"
"A Bohor reedbuck"
"A Bonnet macaque"
"A Bontebok"
"A Bottle-nose dolphin"
"A Brazilian otter"
"A Brazilian tapir"
"A Brindled gnu"
"A Brolga crane"
"A Brown and yellow marshbird"
"A Brown antechinus"
"A Brown brocket"
"A Brown capuchin"
"A Brown hyena"
"A Brown lemur"
"A Brown pelican"
"A Brush-tailed bettong"
"A Brush-tailed phascogale"
"A Brush-tailed rat kangaroo"
"A Burchell's gonolek"
"A Burmese black mountain tortoise"
"A Burmese brown mountain tortoise"
"A Burrowing owl"
"A Bush dog"
"A Bushbuck"
"A Bushpig"
"A Buttermilk snake"
"A California sea lion"
"A Campo flicker"
"A Canada goose"
"A Canadian river otter"
"A Canadian tiger swallowtail butterfly"
"A Cape Barren goose"
"A Cape clawless otter"
"A Cape cobra"
"A Cape fox"
"A Cape raven"
"A Cape starling"
"A Cape white-eye"
"A Cape wild cat"
"A Capybara"
"A Caracal"
"A Caribou"
"A Carmine bee-eater"
"A Carpet python"
"A Carpet snake"
"A Cattle egret"
"A Cereopsis goose"
"A Chacma baboon"
"A Cheetah"
"A Chestnut weaver"
"A Chilean flamingo"
"A Chimpanzee"
"A Chital"
"A Chuckwalla"
"A Civet cat"
"A Clark's nutcracker"
"A Coke's hartebeest"
"A Collared lemming"
"A Collared lizard"
"A Collared peccary"
"A Columbian rainbow boa"
"A Comb duck"
"A Common boubou shrike"
"A Common brushtail possum"
"A Common dolphin"
"A Common duiker"
"A Common eland"
"A Common genet"
"A Common goldeneye"
"A Common green iguana"
"A Common grenadier"
"A Common langur"
"A Common long-nosed armadillo"
"A Common melba finch"
"A Common mynah"
"A Common nighthawk"
"A Common palm civet"
"A Common pheasant"
"A Common raccoon"
"A Common rhea"
"A Common ringtail"
"A Common seal"
"A Common shelduck"
"A Common turkey"
"A Common wallaroo"
"A Common waterbuck"
"A Common wolf"
"A Common wombat"
"A Common zebra"
"A Common zorro"
"A Cook's tree boa"
"A Coqui francolin"
"A Coqui partridge"
"A Cottonmouth"
"A Cougar"
"A Coyote"
"A Crab-eating fox"
"A Crab-eating raccoon"
"A Crested barbet"
"A Crested bunting"
"A Crested porcupine"
"A Crested screamer"
"A Crimson-breasted shrike"
"A Crown of thorns starfish"
"A Crowned eagle"
"A Crowned hawk-eagle"
"A Cuis"
"A Curve-billed thrasher"
"A Dabchick"
"A Dama wallaby"
"A Dark-winged trumpeter"
"A Dassie"
"A Defassa waterbuck"
"A Denham's bustard"
"A Desert kangaroo rat"
"A Desert spiny lizard"
"A Desert tortoise"
"A Dingo"
"A Downy woodpecker"
"A Dromedary camel"
"A Dusky gull"
"A Dusky rattlesnake"
"A Eastern boa constrictor"
"A Eastern box turtle"
"A Eastern cottontail rabbit"
"A Eastern diamondback rattlesnake"
